Data Set,Tapajos National Forest - km 83 - March 2000  Tree Survey,,,,,,,,,,,,
Site,Flona Tapajos National Forest (TNF) Km 83 tower site - Santarem - Para - Brazil,,,,,,,,,,,,
File name ,CD04_TNF_KM83_Tree_Survey_2000.csv,,,,,,,,,,,,
File date ,2010-1-18,,,,,,,,,,,,
LBA Team ID,  CD-04,,,,,,,,,,,,
,,,,,,,,,,,,,
Tree survey in 18 ha plot east of the eddy covariance tower in March 2000,,,,,,,,,,,,,
,,,,,,,,,,,,,
Column,Heading,Units/format,Description,,,,,,,,,,
Tauari,Couratari guianensis Aubl.,Lecythidaceae,E3,126,90.6,43.14054176,6467.019738,,,,,,
Melancieira,Alexa grandiflora Ducke,Papilionoideae,E3,127,43.6,21.77220314,773.5077784,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,E3,128,62.4,30.31953859,2177.422918,,,,,,
Piquia,Caryocar villosum (Aubl.) Pers.,Caryocaraceae,E3,129,116,54.68853753,13373.25694,,,,,,
Fava mapoxiqui ,Ptecelobuim jucumba,Mimosoideae,E3,130,57.5,28.09177563,1717.579679,,,,,,
Matamata vermelho,Eschweilera amazomica R.knkth,Lecythidaceae,E3,131,35.3,17.99864547,423.3732471,,,,,,
Abiurana vermelha,Pouteria guianensis Aubl.,Sapotaceae,E3,132,44,21.95406134,794.0344664,,,,,,
Breu vermelho,Protium tenuifolium Engl.,Burseraceae,E3,133,49.1,24.2727534,1088.333366,,,,,,
Maparajuba,Manilkara paraensis (Hub.) Standl.,Sapotaceae,E3,134,37.3,18.90793647,495.2027292,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,F3,135,53.8,26.40958727,1416.866787,,,,,,
Andiroba,Carapa guianensis Aubl.,Meliaceae,F3,136,78.1,37.45747298,4187.341071,,,,,,
Matamata vermelho,Eschweilera amazomica R.knkth,Lecythidaceae,F3,137,38.6,19.49897563,545.9874719,,,,,,
Seringueira,Hevea brasiliensis Muell. Arg.,Euphorbiaceae,F3,138,39,19.68083383,562.2831498,,,,,,
Tauari,Couratari guianensis Aubl.,Lecythidaceae,G3,139,89.8,42.77682536,6300.999371,,,,,,
Castanha de arara,Joannesia hevioides Ducke,Euphorbiaceae,G3,140,38,19.22618833,522.1381902,,,,,,
Macaranduba,Manilkara huberi (Ducke) Chev.,Sapotaceae,G3,141,40.8,20.49919573,639.6256422,,,,,,
Envira preta,Guatteria poeppigiana Mart.,Annonaceae,G3,142,36.4,18.49875552,461.9520061,,,,,,
Matamata vermelho,Eschweilera amazomica R.knkth,Lecythidaceae,G3,143,39.7,19.99908568,591.5738118,,,,,,
Jarana ,Lecythis lurida (Miers) Mori,Lecythidaceae,H3,144,65.2,31.592546,2473.701673,,,,,,
Abiu cutite,Pouteria macrophylla (Lam.) Eyma,Sapotaceae,H3,145,40.1,20.18094388,608.7585327,,,,,,
Matamata preto,Eschweilera coriacea (A.DC.)Mori,Lecythidaceae,H3,146,37.7,19.08979467,510.4781064,,,,,,
Abiu branco,Micropholis guianensis ,Sapotaceae,I3,147,51.8,25.50029626,1270.003837,,,,,,
Ucuuba terra firme,Virola melionii (Ben.)Warb.,Myristicaceae,I3,148,35,17.86225182,413.237393,,,,,,
Louro preto,Ocotea baturitensis Vattimo,Lauraceae,H3,149,40.7,20.45373118,635.1537099,,,,,,
Tauari,Couratari guianensis Aubl.,Lecythidaceae,I3,150,55.7,27.27341372,1566.473337,,,,,,
Axixa,Sterculia speciosa Schum.,Sterculiaceae,I3,151,35.5,18.08957457,430.2215683,,,,,,
Pau de remo,Chimarrhis turbinata DC.,Rubiaceae,I3,152,89,42.41310896,6137.843732,,,,,,
Macaranduba,Manilkara huberi (Ducke) Chev.,Sapotaceae,J3,153,61.3,29.81942854,2067.827985,,,,,,
Tachi preto folha grauda ,Tachigalia myrmecophila ( Ducke ) Ducke,Caesalpinioideae,J3,154,38,19.22618833,522.1381902,,,,,,
Abiu rosadinha,Michopholis venulosa Pierre,Sapotaceae,J3,155,47.8,23.68171425,1007.4092,,,,,,
Abiu casca grossa,Pouteria biloculares (Winkler)Baehni,Sapotaceae,J3,156,70.1,33.82030896,3054.690585,,,,,,
Abiurana vermelha,Pouteria guianensis Aubl.,Sapotaceae,J3,157,36.8,18.68061372,476.5403054,,,,,,
Abiurana vermelha,Pouteria guianensis Aubl.,Sapotaceae,J3,158,35.4,18.04411002,426.7882667,,,,,,
Tachi vermelho,Sclerolobium chrysophyllum Poepp & Endl,Caesalpinioideae,J3,159,93.8,44.59540737,7160.24672,,,,,,
Parapara,Jacaranda copaia (Aubl.) D.Don,Bignoniaceae,K3,160,37.2,18.86247192,491.4320247,,,,,,
Fava arara tucupi,Parkia multijuga Benth.,Papilionoideae,K3,161,47.3,23.4543915,977.3847583,,,,,,
Inga vermelho,Inga alba (Sw.)Willd.,Mimosoideae,K3,162,64.9,31.45615235,2440.746755,,,,,,
Papaterra,Miconia argyrophylla,Melastomataceae,L3,163,35.3,17.99864547,423.3732471,,,,,,
Andiroba,Carapa guianensis Aubl.,Meliaceae,L3,164,40.6,20.40826663,630.7026405,,,,,,
Tauari,Couratari guianensis Aubl.,Lecythidaceae,L4,165,75,36.04807192,3720.13431,,,,,,
Cupiuba,Goupia glabra Aubl.,Celastraceae,L4,166,53.5,26.27319362,1394.152218,,,,,,
Louro amarelo,Licaria brasiliensis (Nees) Kosterm.,Lauraceae,J4,167,51.4,25.31843806,1241.904539,,,,,,
Macaranduba,Manilkara huberi (Ducke) Chev.,Sapotaceae,J4,168,63,30.59232589,2238.800621,,,,,,
Aroeira,Astronium le-cointei Ducke,Anacardiaceae,J4,169,55.1,27.00062642,1518.146517,,,,,,
Goiabinha,Myrcia amazonica ,Myrtaceae,I4,170,52.1,25.63668991,1291.353946,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,I4,171,85.4,40.77638515,5438.426389,,,,,,
Louro,Ocotea sp.,Lauraceae,I4,172,64.5,31.27429414,2397.263654,,,,,,
Envira cana,Xylopia nitida Dun.,Annonaceae,I4,173,77.1,37.00282748,4032.596891,,,,,,
Inga vermelho,Inga alba (Sw.)Willd.,Mimosoideae,I4,174,40.5,20.36280208,626.2723853,,,,,,
Abiurana vermelha,Pouteria guianensis Aubl.,Sapotaceae,I4,175,42.1,21.09023489,699.6814417,,,,,,
Andiroba,Carapa guianensis Aubl.,Meliaceae,H4,176,58.7,28.63735023,1823.527286,,,,,,
Jutai mirim,Hymenaea parvifolia Huber,Caesalpinioideae,H4,177,77.6,37.23015023,4109.483671,,,,,,
Castanha do Para ,Bertholletia excelsa Humb. & Bonpl.,Lecythidaceae,H4,178,124.1,58.3711661,16317.81499,,,,,,
Andirobarana,Guarea subsessiliflora C. DC.,Meliaceae,H4,179,39.7,19.99908568,591.5738118,,,,,,
Breu,Protium paraensis ,Burseraceae,H4,180,82.4,39.41244864,4897.869154,,,,,,
Amarelao,Apuleia leiocarpa ( Vog ) Spr. var. molaris ( Spr ex Bth ) Koeppen,Caesalpinioideae,G4,181,88.3,42.09485711,5997.412935,,,,,,
Acariquara,Minquartia guianensis Aubl.,Olacaceae,G4,182,56.8,27.77352377,1657.7136,,,,,,
Matamata preto,Eschweilera coriacea (A.DC.)Mori,Lecythidaceae,F4,183,44.8,22.31777774,836.1695059,,,,,,
Tachi vermelho,Sclerolobium chrysophyllum Poepp & Endl,Caesalpinioideae,F4,184,84.4,40.32173965,5254.043482,,,,,,
Matamata preto,Eschweilera coriacea (A.DC.)Mori,Lecythidaceae,F4,185,36.4,18.49875552,461.9520061,,,,,,
Tauari,Couratari guianensis Aubl.,Lecythidaceae,F4,186,89,42.41310896,6137.843732,,,,,,
Inga vermelho,Inga alba (Sw.)Willd.,Mimosoideae,F4,187,42.9,21.45395129,738.4417865,,,,,,
Itauba abacate,Mezilaurus lindaviana Schw. & Mez,Lauraceae,F4,188,41.1,20.63558938,653.1671035,,,,,,
Tachi preto folha grauda ,Tachigalia myrmecophila ( Ducke ) Ducke,Caesalpinioideae,E4,189,73.5,35.36610367,3507.114108,,,,,,
Lacre preto,Visma guianensis (Aubl.) Choisy,Guttiferae,E4,190,54.4,26.68237457,1463.032744,,,,,,
Louro,Ocotea sp.,Lauraceae,E4,191,37,18.77154282,483.9480428,,,,,,
Envira preta,Guatteria poeppigiana Mart.,Annonaceae,E4,192,36.3,18.45329097,458.3519754,,,,,,
Macaranduba,Manilkara huberi (Ducke) Chev.,Sapotaceae,E4,193,45.6,22.68149415,879.7675379,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,E4,194,67,32.4109079,2677.674486,,,,,,
Anani,Symphonia globulifera Lf.,Guttiferae,D4,195,37.1,18.81700737,487.6804788,,,,,,
Fava folha fina,Pseudopiptadenia psilostachya Benth.,Mimosoideae,D4,196,87,41.50381795,5742.324328,,,,,,
Louro vermelho,Ocotea rubra Mez,Lauraceae,D4,197,127.1,59.73510261,17509.32594,,,,,,
Matamata vermelho,Eschweilera amazomica R.knkth,Lecythidaceae,D4,198,40.5,20.36280208,626.2723853,,,,,,
Cupiuba,Goupia glabra Aubl.,Celastraceae,C4,199,117.2,55.23411213,13785.05524,,,,,,
Abiu seco,Pouteria paraensis,Sapotaceae,C4,200,47.1,23.3634624,965.5438578,,,,,,
Pitaica,Swartzia polyphylla A.DC.,Papilionoideae,C4,201,57.4,28.04631108,1708.940645,,,,,,
Louro abacate,Ocotea sp.,Lauraceae,C4,202,40.8,20.49919573,639.6256422,,,,,,
Andiroba,Carapa guianensis Aubl.,Meliaceae,C4,203,40.2,20.22640843,613.106018,,,,,,
Louro,Ocotea sp.,Lauraceae,C4,204,37.2,18.86247192,491.4320247,,,,,,
Acariquara,Minquartia guianensis Aubl.,Olacaceae,B4,205,53.7,26.36412272,1409.268088,,,,,,
Abiu balatinha,Ragala guianensis,Sapotaceae,B4,206,43.1,21.54488039,748.3502403,,,,,,
Muirapiranga,Eperua schomburgkiana Benth.,Caesalpinioideae,B4,207,38.1,19.27165288,526.0639161,,,,,,
Louro,Ocotea sp.,Lauraceae,B4,208,69.3,33.45659256,2954.218229,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,B4,209,51.1,25.18204441,1221.103997,,,,,,
Andiroba,Carapa guianensis Aubl.,Meliaceae,A4,210,40.5,20.36280208,626.2723853,,,,,,
Matamata vermelho,Eschweilera amazomica R.knkth,Lecythidaceae,A4,211,49.3,24.3636825,1101.154852,,,,,,
Matamata vermelho,Eschweilera amazomica R.knkth,Lecythidaceae,A4,212,42.1,21.09023489,699.6814417,,,,,,
Melancieira,Alexa grandiflora Ducke,Papilionoideae,A4,213,62.8,30.50139679,2218.215029,,,,,,
Macaranduba,Manilkara huberi (Ducke) Chev.,Sapotaceae,A5,214,35.7,18.18050367,437.1432121,,,,,,
Castanha do Para ,Bertholletia excelsa Humb. & Bonpl.,Lecythidaceae,A5,215,65.5,31.72893965,2506.9517,,,,,,
Paraputaca ,Swartzia guianensis ,Papilionoideae,A5,216,43.7,21.81766769,778.6059162,,,,,,
Andiroba,Carapa guianensis Aubl.,Meliaceae,A5,217,35.5,18.08957457,430.2215683,,,,,,
Inga vermelho,Inga alba (Sw.)Willd.,Mimosoideae,B5,218,56.5,27.63713012,1632.488202,,,,,,
Ucuuba terra firme,Virola melionii (Ben.)Warb.,Myristicaceae,B5,219,35.9,18.27143277,444.1385681,,,,,,
Copaiba,Copaifera multijuga Hayne,Caesalpinioideae,B5,220,64.3,31.18336504,2375.716994,,,,,,
Mamorana,Eriotheca globosa (Aubl.) Robyns,Bombacaceae,B5,221,36.7,18.63514917,472.8649067,,,,,,
Fava folha fina,Pseudopiptadenia psilostachya Benth.,Mimosoideae,C5,222,75.5,36.27539467,3793.010911,,,,,,
